# ==== Vocabulary ====
the 30550
pole mon 1
a my n tas 1
mede 1
ly ca on ia 1
scep tres 7
afflict 14
withhold 10
negligent 7
necessities 12
un be wa iled 1
adulter ous 2
abomin ations 2
potent 19
tru ll 4
no ises 4
dear st 6
for spoke 1
den oun ced 2
reply 24
mar es 3
pu zzle 1
spar ed 6
tra du ced 2
p hot inus 1
maids 70
manage 27
pres ident 1
tar ent um 1
br und us ium 1
ion ian 1
t ory ne you 1
rebuke 20
become d 2
slack ness canidius 1
dared 7
wage 7
ph ar sa lia 1
ships 30
man ned 5
mariners 10
mu lete ers 2
reap ers 3
impress 6
fleet 25
ref using 3
distract 10
consist 5
war marked 1
foot men 1
un executed 1
renowned 35
forgo 8
assurance 31
security 16
six ty 4
full man ned 1
approach ing 5
des cried 6
t ory ne 1
nin et een 3
ship 62
the tis 6
plan ks 2
egyp tians 3
phoen ic ians 1
ad u cking 1
conquer 21
fighting 19
lead ers 5
just e ius 1
pub li co la 2
ca e lius 1
belief 15
distra ctions 2
thro es 4
prescri pt 2
scroll 14
squ ad rons 3
yon 27
anton i ad 1
admir al 6
ru d der 2
blasted 12
goddess es 4
sy nod 6
c ant le 2
kissed 18
prov inces 6
token ed 1
ri ba ud red 1
n ag 2
le pro sy 4
midst 14
tw ins 6
same or 1
bre eze 2
co w 7
j une 3
ho ists 1
beheld 37
lo of ed 1
magic 13
claps 7
sea wing 1
ma ll ard 1
manhood 30
vio late 6
lament ably 2
pe lo pon nes us 1
yielding 18
upont 24
ashamed 22
lated 2
la den 4
instru cted 6
cowards 32
shoulders 34
resolved 33
treas ures 5
harbour 21
mutiny 28
reprove 7
sweep 13
loath ness 3
seaside 9
straightway 8
little pray 1
empress 54
dan cer 3
dealt 8
lieutenant ry 2
s quar es 2
now no 1
un qual it ied 1
declined 7
un noble 1
stro yed 1
knewst 8
strings 12
to w 1
supre ma cy 5
treat ies 1
do dge 1
pal ter 5
bulk 16
mar ring 3
conqueror 22
rates 7
re pays 3
schoolmaster 40
viands 8
plucked 22
pin ion 2
moons 14
an th ony 6
morn dew 1
myr tle 5
leaf 15
decl are 7
sal utes 6
less ens 2
requests 16
su es 5
sub m its 1
craves 27
circle 14
heirs 24
hazard ed 2
all disgraced 1
perform 45
un heard 4
bands 14
per jure 2
neer touchd 1
vestal 7
edict 10
flaw 6
rang es 3
frighted 17
itch 7
nick ed 1
captain ship 2
opposed 16
mer ed 1
flying 19
fla gs 3
gri zzled 2
principal ities 1
coin 21
prevail 22
comparisons 8
apart 43
high battle d 1
un state 2
st aged 1
sword er 2
empt iness 3
kneeled 8
loyalty 25
allegiance 26
ear ns 1
boldly 17
entreats 14
standst 16
scars 17
le ak y 2
sin king 5
beg s 7
staff 41
shroud 13
universal 13
land lord 3
deput ation 5
con q uring 1
prompt 13
ats 2
all obey ing 1
noblest 18
combat ing 3
mu sed 1
bestowed 19
ra ined 3
thunders 12
per forms 2
full est 1
obeyed 8
there ah 1
k it en ow 1
devils 59
melt s 7
mus s 1
jack 80
whelp 8
tribut aries 2
here whats 1
cr ing e 1
wh ine 2
aloud 29
tu g 4
errand 18
pillow 20
un pressed 1
for borne 1
feed ers 3
bo g gl er 1
vicious ness 1
ont the 1
filth 10
str ut 4
confusion 34
trencher 8
fra gment 3
g ne ius 1
un register ed 1
lux uri ously 1
pickd 7
temperance 9
rewards 10
playfellow 8
plight er 1
bas an 1
out roar 1
horn ed 2
ci vill y 1
halter ed 1
hangman 17
soundly 24
following 55
disdainful 9
har ping 2
empty 52
or bs 6
fires 27
mis like 5
hip parch us 1
en fr an ched 1
bondman 9
stri pes 4
ter rene 2
e clip sed 2
port ends 3
mingle 13
ties 4
cold hearted 1
eng ender 1
sour ce 6
determin es 3
dissolve 10
sm ite 2
degrees 18
disc and y ing 1
pe ll et ed 2
storm 61
grave less 1
gnat s 7
satisfied 49
oppose 19
sever ed 5
threatning 14
sea like 1
ear n 6
tre bles ine wed 1
hearted 3
malicious ly 3
luck y 6
jests 18
bow ls 4
birth day 4
th ave 2
pestil ent 7
out stare 2
lightning 31
furious 15
peck 11
est ridge 1
dimin ution 2
rest ores 1
pre ys 5
chides 11
ro ds 3
personal 15
combat 32
ruffian 16
challenge 50
falling 26
battles 23
ear ned 7
ba the 7
wo ot 2
household 17
meal 10
odd 33
clapped 12
scant 10
cups 9
followers 51
period 17
mangled 13
discomfort 8
on ione yed 1
transform 7
hearty 10
dol orous 1
torches 16
expect 36
victorious 15
consideration 8
determine 26
corner 17
land men 1
hautboys 11
watch men 5
armour 55
chu ck eros 1
iron 49
armour er 7
la 76
def ences 4
briefly 21
buck led 7
rarely 14
un buck les 1
daff t 1
fum blest 1
queens 59
squire 16
t ight 3
occupation 9
lookst 14
be time 6
rive ted 3
shout 27
lads 25
betimes 24
dame 35
rebuke able 1
mechan ic 3
compliment 12
steel you 1
retire 50
gallant ly 4
antony but 1
revolted 12
sayest 19
chest s 6
jot 25
subscribe gentle 1
adie us 2
corrupted 21
dispatch enobarbus 1
pro spr ous 1
thre eno oked 1
o live 6
van 1
incline 11
un load ing 1
mu les 4
sa fed 1
bring er 3
donet 10
continues 14
tur pit u de 2
swifter 14
out strike 1
ditch 6
foul st 2
engaged 9
alarums 32
dro ven 1
cl outs 3
bleed st 3
h 2
bench holes 1
scot ches 1
backs 21
snatch 11
har es 4
ma ul 2
run ner 1
ten fold 2
gest s 1
spill 6
escaped 7
d ought y handed 1
hectors 26
clip 10
feats 14
joyful 32
conge al ment 1
g ashes 6
fairy 49
chain 65
attire 12
harness 6
p ants 4
triumph ing 4
comst 25
snare 15
un caught 2
nightingale 11
girl 60
nourish es 1
go al 4
favour ing 2
mankind 20
destroy ed 7
car b uncle d 1
hacked 7
tar gets 3
capacity 11
sup 20
car ouses 3
peril trumpet ers 1
brazen 11
din 10
blast 16
citys 11
rat tling 5
ta bour ines 1
applaud ing 2
sent ry 6
relie ved 5
sh iny 1
em battle 1
tos 7
hateful 46
poisonous 12
dis pon ge 1
flint 27
hard ness 6
powder 9
finish 10
in famous 2
master lea ver 1
swo ons 6
raught 5
de mure ly 2
sleep ers 5
recover 28
hills 17
ad joining 7
us order 1
haven 19
appointment 12
endeavour 17
taket 11
gall eys 6
val es 1
joined 15
yond 40
swallow s 6
nest s 3
grim ly 2
deject ed 6
fret ted 5
caps 17
car ouse 2
trip let urn ed 1
no vice 3
revenged 33
charm 35
u prise 2
span ie led 1
disc and y 1
blossom ing 2
bar ked 1
over to pped 1
be cked 1
crown et 1
gy ps y 3
loose 49
spell 10
avaunt 17
enraged 13
vanish 11
blemish 9
ho ist 7
shout ing 5
plebeians 24
chariot 10
monster like 1
poor st 2
dimin ut ives 2
do lt s 2
plough 6
fell st 1
many eros 1
shirt 15
alcides 8
ancest or 5
lic has 2
gr as ped 4
heavi est 7
club 9
subdue 11
for ter os 1
te la mon 1
boar 35
thes sal y 2
lock 21
rive 6
pite ously 2
death to 1
behold st 3
dragon ish 1
vapour 10
tower ed 1
pend ant 4
for ked 7
blue 29
ves pers 1
page ants 6
dis li mn s 1
ind ist inct 2
visible 5
unto t 1
lost she 1
pa cked 2
c ards 3
false played 1
discharged 14
tear ing 7
rend ered 5
un arm 7
sleep that 1
depart st 1
seven fold 2
ajax 129
continent 13
crack 32
frail 19
bruised 7
torch 30
stray 12
ent angl es 1
ero si 1
queen eros stay 1
ghosts 18
dido 12
aeneas 81
haunt 17
ours come 1
detest 10
baseness 17
quart ered 5
neptunes 12
cities 16
ex igent 3
ine v itable 4
pro secut ion 1
horror 16
stri kst 2
defeat st 1
darts 10
window ed 1
ple ached 2
cor ri gi ble 2
penet rat ive 1
whe eled 2
brand ed 4
ensu ed 2
seet 16
use ful 2
swor st 3
precedent 21
un purposed 1
turning 29
bridegroom 13
into t 5
scholar 18
begun 33
diomed 34
suffic ing 1
prophesy ing 2
found you 1
pur ged 3
emperors 20
bid es 4
lightly 11
events 14
proportion ed 2
dark ling 3
oer thrown 6
trium p hed 3
imperious 15
full fortun ed 1
broo ched 1
sting 30
conclusion 29
de mur ing 1
women we 1
heaviness 17
juno s 6
strong winged 1
mercury 14
wis hers 2
wheel 21
provoked 12
resolution 31
miserable 36
lament 26
basely 13
cowardly 17
hel met 6
valiant ly 5
vanquished 11
sty 5
melt my 1
withered 17
garland 33
pole 21
re mark able 2
visit ing 5
mil ks 2
meanest 15
char es 1
sot tish 1
sirs 43
brief est 1
fru strate 6
mocks 21
pa uses 1
hat ers 1
pleas est 2
den s 2
hi red 7
split ted 4
pers isted 1
tain ts 5
rar er 4
steer 4
humanity 11
mir rors 3
lance 98
diseases 22
bodies 49
decl ining 6
mate 14
kindle 11
un reconci liable 1
equal ness 1
meet er 2
prepared ly 1
ungentle 12
speed iest 3
employed 18
calm 36
proceeded 13
writ ings 2
desolation 11
paltry 11
shack les 7
bolts 5
pal ates 5
d ung 1
beggars 36
study 61
meanst 12
princely 82
flows 9
depend ency 3
obedience 52
caused 10
surprised 17
drawing 15
dis arms 2
ri ds 2
dogs 52
languish 7
acted 7
pin ion ed 3
chast ised 3
var le try 1
c ens uring 1
star kn aked 1
water flies 2
abhor ring 2
countrys 45
pyra m ides 1
gibbet 3
chains 12
assured ly 4
dreamt 19
lighted 11
best rid 6
rear ed 2
crest ed 1
proper tied 3
tun ed 2
qua il 4
orb 10
reap ing 1
dolph in like 1
element 12
walked 12
crown ets 2
real ms 7
is lands 5
pl ates 1
dropped 8
stuff 52
vie 6
forms 26
imagine 26
condem ning 2
answering 10
pursued 11
re bound 1
sm ites 2
kneels 35
exten uate 6
apply 16
cruelty 23
bere ave 5
destruction 28
thereon 8
sc ut che ons 1
plate 11
exact ly 6
valued 9
treas ur er 1
purchase 36
sou ll ess 1
wounding 10
vouch sa fing 1
visit 62
lord liness 1
meek 8
im moment 1
toys 16
li via 2
induce 5
medi ation 2
unfold ed 4
c ind ers 5
mis thought 1
acknow led ged 3
roll 9
merchants 15
pris ons 5
dispose 24
provided 35
intends 17
performed 20
puppet 8
slaves 39
greasy 10
a pr ons 5
rules 9
ham mers 3
up lift 2
breaths 9
en cloud ed 1
li ctors 3
scald 8
come dians 1
ex tempor ally 2
revels 20
drunken 23
sque aking 1
post ure 5
ab sur d 4
at tires 3
ch are 1
doomsday 11
where fores 1
guards man 6
r ural 2
resol ut ions 1
marble constant 1
planet 9
basket 30
avoid 38
worm 33
biting 10
remember st 1
yesterday a 1
honesty how 1
fall iable 1
trusted 11
heed ed 1
whoreson 40
long ings 1
juice 8
rouse 32
lifes o 1
warm th 6
as pic 2
vanish est 2
leave taking 5
cur led 6
have come 1
asp 3
app lies 3
intr ins ic ate 1
unt ie 6
venom ous 5
un poli ci ed 1
ea stern 7
baby 17
su cks 5
balm 17
antony nay 1
un par alle led 2
down y 4
aw ry 7
rust ling 3
softly 25
fitting 10
princess 180
descended 14
dread ed 6
sought st 1
augur er 2
le vell ed 2
bleed 41
trim ming 2
diadem 13
trembling ly 1
swelling 23
as pic s 2
trail 7
fig 6
caves 10
conclus ions 7
funeral 26
solemnity 14
orchard 28
oliver s 6
lawn 9
forest 112
arden 15
cottage 12
orlando 168
youngest 27
rowland 10
oliver 56
adam 38
den nis 6
rosalind 280
senior 43
celia 127
frederick 35
touchstone 90
ferdinand 57
exile 27
amiens 18
usurper 8
domin ions 7
charles 124
wrest ler 7
beau 22
corin 35
shepherd 112
phoebe 52
shepherdess 8
audrey 33
martext 8
vic ar 5
re presenting 1
hymen 13
belonging 9
pages 24
forest ers 4
usur pers 5
school 27
golden ly 1
rust ic ally 1
proper ly 6
un kept 1
diff ers 4
st all ing 1
ox 11
rid ers 3
anim als 5
dungh ills 2
plent ifully 3
hind s 7
mines 14
gent ility 2
grieves 24
serv itude 4
ho gs 2
hus ks 5
prodigal 24
portion 8
nations 11
allow s 4
tra dition 3
albeit 16
nearer 22
reverence 45
begot 26
villains 55
pull ed 6
ra iled 6
accord 9
tra ined 6
peasant 23
ob scur ing 1
gentleman like 5
exer c ises 5
all ot ter y 1
rank ness 3
holla 15
import unes 4
access 33
wrestling 11
banished 99
voluntary 12
lands 60
cra dles 4
robin 39
hood 7
england 261
flock 20
careless ly 5
secretly 12
disguised 34
es cap es 5
limb 17
acquit 10
foil 14
intend ment 3
brook 86
under hand 2
laboured 15
resolute 12
stubborn est 1
envious 38
emul ator 1
villainous 22
contri ver 4
ent rap 4
treacherous 28
device 48
taen 96
indirect 9
brother ly 3
an atom ize 3
payment 15
sou ly et 1
why hates 1
scho oled 2
enchant ingly 1
mis prized 2
coz 44
merri er 7
extra ordinary 5
right e ously 1
temper ed 3
rejoice 26
monster 69
see what 1
earnest 40
bene fits 7
illfavoured ly 4
line aments 7
flout 21
cut ter off 1
peradventure 15
perceive th 1
whet stone 4
wit show 1
pan cakes 2
mustard 9
heap 11
un mu zzle 1
chins 4
beards 14
knavery 17
pan ca ck es 1
tax ation 5
wisely 32
foolish ly 5
silence d 4
pigeons 13
new sc ram med 1
mar ke table 2
bon jour 3
dest inies 7
tro wel 1
los est 3
amaze 11
beginning 22
bills 16
necks 12
wrest led 4
ribs 17
behold ers 5
weeping 68
longs 17
dotes 9
ri b breaking 1
appointed 34
forward ness 5
success fully 3
crept 17
challeng ers 2
steps 33
challeng er 5
challenged 8
adventure 25
killed 65
supplied 9
desir ous 6
working 24
persuaded 22
mocked 21
row lands 5
calling 18
adopt ed 6
entreaties 11
venture d 7
heart sir 1
me one 1
suits 34
ay fare 1
quint ain 1
life less 6
block 19
would did 1
overthrown 11
you fare 1
weight s 2
urged 18
applause 12
mis const ers 1
humorous 12
judge 93
small er 4
detain ed 2
niece 63
bound en 2
curs 14
cousins 33
la med 2
child s 5
working day 2
bur s 4
holiday 13
trodden 7
pa ths 5
petti coats 2
coat 34
hem 10
ensue 15
do look 1
frantic 15
not then 1
unborn 10
purg ation 6
mistrust 19
likelihood 14
dukedom 26
inher ited 3
remorse 30
value 29
ate 4
sw ans 3
couple d 7
in separ able 2
subtle 36
smooth ness 3
ir revo cable 3
pronounce 30
out stay 1
te acheth 3
sunder ed 2
provoke th 1
um ber 1
sm ir ch 1
assail ants 1
cur tal axe 1
thigh 12
boar spear 2
s washing 1
martial 11
outside 16
man nish 3
out face 6
sembl ances 2
ganymede 10
aliena 8
assay ed 2
clown ish 2
fit test 4
banishment 41
com ates 1
penalty 12
ic y 6
fang 15
churlish 19
bites 11
shrink 11
counsell ors 7
feeling ly 7
adversity 8
toad 17
exempt 11
books 39
brooks 9
ser mon s 1
stubborn ness 3
ven ison 7
ir ks 3
d apple d 1
bur gh ers 2
confines 10
ha un ches 1
usurp 21
oak 27
peep s 3
bra wls 6
sequ ester ed 2
hun ters 7
anim al 3
hea ved 5
discharge 34
leather n 5
bur sting 1
cour sed 1
piteous 26
hair y 6
marked 18
extremest 10
verge 8
augment ing 3
mor ali ze 5
spectacle 11
needless 11
world lings 2
aband oned 4
f lux 2
j um ps 5
inve ct ively 1
pierce th 1
fright 36
dwelling place 1
contemplation 13
comment ing 2
so bb ing 2
cope 12
unt reas ured 1
roy nish 1
also 41
missing 7
hes per ia 1
confess es 3
oer heard 3
belie ves 4
in quis ition 2
run away s 4
overcome 12
bonny 9
priz er 2
swiftly 8
comely 8
en venom s 1
brother no 1
lodging 26
overheard 7
but chery 3
boisterous 10
road 22
thrifty 5
hire 18
foster nurse 1
un regarded 1
corners 9
ravens 13
prov ident ly 1
cat ers 1
sparrow 7
rebellious 11
liqu ors 2
un bashful 1
deb ility 1
frosty 9
meed 19
pro motion 5
choke 17
pr un st 1
tree 61
blossom 12
lieu 10
wages 12
g asp 8
fourscore 14
doublet 25
travell ers 8
actions 32
ridiculous 16
fantasy 15
remembr est 3
slight est 3
hear er 5
a br upt ly 1
search ing 6
an ight 1
j ane 2
bat let 1
co ws 1
du gs 4
chop ped 2
mil ked 2
peas cod 4
instead 17
co ds 2
ca pers 3
ware 8
sh ins 4
shepherds 33
betters 12
say good 1
succour 15
shear 2
flee ces 1
gra ze 8
re cks 2
ho sp ital ity 2
co te 2
flo cks 7
bounds 24
sale 10
sheep co te 3
swain 23
ere while 4
buy ing 1
faithful 36
feed er 6
green wood 1
weather 34
suck 24
wea sel 6
eg gs 8
stan z o 1
stan z os 1
dog apes 1
rend ers 4
beggarly 10
song sirs 1
disput able 1
war ble 3
yesterday 24
stubborn 25
du c dame 4
greek 34
in vocation 4
un c outh 3
mock er 4
cheerly 13
liest 47
shelter 15
outlaws 9
transformed 12
no where 4
compact 17
j ars 8
musical 8
b asked 1
po ke 1
lack lustre 1
wag s 3
ago 30
eleven 26
lungs 20
ch antic le er 2
deep contempl ative 1
sans 16
inter mission 4
motle ys 1
fool one 1
bis cu it 2
voyage 23
cram med 6
observation 10
vent s 3
galled 13
parish 12
church 68
hit 62
smart 9
bo b 3
squ ander ing 1
gl ances 3
invest 9
clean se 2
infected 22
patiently 21
counter 5
mis chie vous 2
br ut ish 6
sores 9
headed 1
dis gorge 3
ebb 15
city woman 1
bra very 8
tax ing 2
wild goose 3
un claimed 1
cock 29
bold ened 2
despis er 1
civil ity 6
seem st 8
vein 16
thorn y 8
in land 5
nur ture 2
gentleness 18
commandment 15
in access ible 2
creeping 10
bells 19
kno lled 2
wiped 13
engend ered 1
minister ed 1
doe 11
lim ped 1
bit 8
the at re 6
players 32
exits 10
ent ran ces 1
seven 72
infant 24
me wling 1
pu king 1
nur ses 7
wh ining 4
school boy 5
sat che l 1
shining 18
snail 8
un willingly 6
sighing 11
fur na ce 4
eye brow 1
beard ed 4
pard 4
can nons 7
belly 38
cap on 8
l ined 7
severe 9
sa ws 4
inst ances 7
slip per ed 1
pant alo on 2
spect acles 8
p ouch 2
shrunk 9
sh ank 1
childish 11
treble 13
pipes 7
whist les 3
event ful 1
vener able 4
heighho 12
ho lly 4
feign ing 6
freeze 11
nigh 19
war p 4
whisper ed 3
e ff ig ies 1
lim ned 1
res id ue 1
cave 49
me good 1
support 18
candle 16
twelvemonth 13
territ ory 2
seiz ure 4
push 25
ex tent 6
expedient ly 1
thrice crowned 1
hun tress 2
wit nes sed 1
un express ive 1
so lit ary 3
plenty 16
philosophy 14
sheep 43
kindred 29
philosopher 11
ill roasted 1
sawst 10
damnation 14
par lous 4
mock able 1
salute 18
unclean ly 5
hand ling 5
ewes 11
fell s 1
gre ase 7
mutton 11
wholesome 33
sound er 3
tar red 1
sur gery 5
tar 3
c ive t 4
per pend 5
inc ision 6
raw 15
labour er 1
ra ms 7
co pul ation 2
cat tle 5
bawd 110
bell we ther 2
she lamb 1
crooked pat ed 1
cuckold ly 4
reasonable 19
mistress s 4
western 10
in de 1
din ners 4
supp ers 1
except ed 6
butter womens 1
market 16
hart 10
slender 108
she af 2
cart 6
r ind 2
gallop 6
infect 21
yields 18
gra ft 4
med lar 6
ear liest 3
un peopled 4
say ings 5
er ring 5
stre ch ing 1
span 4
viol ated 2
rosalind a 1
teaching 15
quint ess ence 2
sprite 8
wide en lar ged 1
at al ant as 2
lucre ti as 2
ho m ily 1
wearied 6
parish ion ers 2
bag 10
baggage 9
sc rip 2
sc rip page 1
lame ly 4
wonder ing 4
palm tree 1
ber hy med 1
py th ag or as 4
irish 10
rat 10
trow 14
mountains 25
earth qu akes 1
petition ary 2
ve hem ence 1
who op ing 1
ca par ison ed 2
south 25
stam mer 1
narrow mouthed 1
bottle either 1
cor k 2
chin 29
tri pped 2
wrest lers 1
mocking 18
gar g ant u as 1
cate ch ism 2
fresh ly 8
atom ies 3
resolve 33
pro pos itions 1
relish 20
ac orn 4
cur ve ts 2
un season ably 2
hunter 9
ominous 10
bring st 6
sl ink 3
wi 15
writing 27
christen ed 1
stat ure 5
goldsmith s 2
con ned 3
cloth 13
cipher 6
signior 135
jaques celia 1
forester 12
groaning 10
dete ct 5
lazy 12
divers 20
am bles 4
tro ts 4
gallop s 6
trot 11
solemn ized 4
sen night 1
latin 12
gout 8
gallows 21
lawy ers 8
v ac ation 1
skir ts 6
fring e 1
c oney 1
kindled 8
accent 17
fin er 5
dwelling 13
court ship 8
lect ures 4
giddy 30
tax ed 1
half pence 3
recount 13
haunts 9
car ving 2
od es 1
haw thorns 1
ele g ies 2
bra mbles 2
de ify ing 1
fan cym ong er 1
qu ot id ian 2
loves ha ked 1
uncles 19
marks 41
ca ge 7
rushes 19
un question able 1
not but 1
ung art ered 2
bonnet 9
un band ed 1
sleeve 20
un but ton ed 1
shoe 15
un tied 2
demon str ating 1
point device 2
acc out re ments 2
ap ter 3
consc iences 6
rhymes 10
madmen 10
punished 11
lun acy 5
whi pp ers 1
cur ing 2
moon ish 1
ef fe min ate 7
change able 4
fantastical 16
ap ish 4
smiles 48
loa the 5
forswear 28
spit 27
suitor 27
no ok 2
mon ast ic 1
sheep s 5
ob serving 6
goats 9
feat ures 3
ca pri cious 1
o v id 2
goths 36
ill inhabit ed 1
that ched 1
second ed 3
understanding 19
poet ical 4
poetry 10
feign 10
swear st 6
hard favoured 5
sugar 14
mater ial 5
slut 2
foul ness 5
slut tish ness 1
vill age 6
couple 18
st agger 3
temple 43
assembly 15
horn beasts 1
goods 25
dowry 26
wall ed 3
town 131
bachelor 20
chapel 10
what ye call t 1
ild 4
toy 19
covered 9
curb 15
falcon 9
bill 18
wedlock 12
ni bbling 3
bush 29
wain scot 1
pan el 1
tim ber 2
bawd ry 3
begone 11
wedding 26
brown er 3
jud ass 2
chest nut 3
sanct ity 7
bread 26
nun 8
sister hood 5
reli giously 7
pick purse 3
hors este al er 1
con cave 3
gob let 2
wor meat en 3
downright 13
tapster 14
confir mer 1
reckon ings 5
parentage 16
breaks 36
tra verse 4
ath wart 7
pun y 7
til ter 2
goose 28
enquire d 4
complain ed 2
sitting 30
tur f 6
pageant 10
feed eth 2
executioner 17
accus to med 4
axe 21
ster ner 2
in jure 1
frail st 1
soft est 3
butchers 11
murderers 30
swoon 15
pin 18
impress ure 3
dart ed 4
ever as 1
arrows 13
adv ancing 4
insu lt 4
ex ult 2
pit il ess 4
sale work 1
ods 8
t angle 4
ink y 3
silk 22
bu g le 2
eyeballs 9
cre am 5
ent ame 1
fo gg y 4
puff ing 2
proper er 3
illfavoured 7
knees 62
fasting 13
mar kets 3
sc offer 1
frowning 17
fal ser 4
tu ft 3
ply 6
exter min ed 1
neighbour ly 2
covetous ness 4
ir k some 3
plenteous 11
g lean 4
reap s 1
car lot 1
boy yet 1
youth not 1
heal 13
so so 5
red ness 1
dam ask 7
omit tance 1
quit tance 6
taunt ing 1
passing 39
abominable 16
censure 30
drunk ards 7
schol ars 7
emulation 11
musicians 31
simp les 5
extra cted 1
s und ry 7
rum ination 2
wra ps 1
sad and 1
blank 12
lis p 3
dis able 2
sw am 3
gon dola 2
shoulder 29
heart whole 1
tardy 12
head a 1
joint ure 5
beholding 30
prevent s 3
horn maker 1
le er 5
grave lled 1
or ators 5
lacking god 1
warn 5
us matter 1
clean liest 1
ran ker 3
talking 25
vide lice t 4
love cause 1
d as hed 2
patter ns 3
le ander 4
hero 117
hell esp ont 4
chronic lers 1
ses tos 1
eaten 19
coming on 1
fri days 2
sat ur days 1
thing come 1
us give 1
orlando what 1
to will 1
